,,,,,,,,recongnize reversal,,,,,,,,momentum,,,,,market timing,,volumn,,,condition:,"1) changing delta sign, 2) delta > 1"
Date,Open,High,Low,Close,Volume,Adj Close,Delta,Std year,Std 20 days,delta sign year,delta sign 20,trade high,trade low,crossday,interday,down/up trend,checking,trend top,trend bottom,breakthrough,,,avg volumn,,,,reversal
8/17/2015,73.5,73.65,72.7,72.9,1479900,72.22,-0.35,0.85798674,0.969790401,0,0,73.5,72.9,DOWN,DOWN,UP,UP,73.5,72.9,,,,2571607.28,,,,amplify / follow throw
8/14/2015,72.55,73.4,72.45,73.25,1934100,72.567,0.75,0.85970873,0.965793238,0,0,73.25,72.55,UP,UP,UP,UP,73.25,72.55,,,,2574597.318,,,,false alarm
8/13/2015,71.8,73.25,71.8,72.5,3093500,71.824,-0.05,0.859734441,0.969464719,0,0,72.5,71.8,DOWN,UP,UP,,72.55,71.9,,,,2574815.709,,,,not strong signal
8/12/2015,71.65,72.95,71.5,72.55,2715800,71.873,0.45,0.860399576,0.968599097,0,0,72.55,71.65,UP,UP,UP,,72.55,71.9,,,,2572174.33,,,,to study about impact
8/11/2015,71.9,72.9,71.75,72.1,2643800,71.427,0.35,0.860150082,0.985086157,0,0,72.1,71.9,UP,UP,UP,UP,72.1,71.9,,,,2571293.103,,,,
8/10/2015,71.35,71.95,70.9,71.75,2214800,71.081,0.4,0.860816179,0.991755488,0,0,71.75,71.35,UP,UP,UP,UP,71.75,71.35,,,,2567620.307,,,,
8/7/2015,70.5,71.7,70.5,71.35,1672800,70.684,0.75,0.860470223,1.015342825,0,0,71.35,70.5,UP,UP,DOWN,DOWN,71.35,70.5,,,,2565893.103,,,,
8/6/2015,72.75,72.75,70.55,70.6,4852700,69.941,-2.4,0.863272916,1.010637501,2.780117338,2.374738715,72.75,70.6,DOWN,DOWN,DOWN,DOWN,72.75,70.6,,,,2569851.724,,,,
8/5/2015,73.55,73.55,72.55,73,3027800,72.319,-0.95,0.850288521,1.024345105,1.117267817,0,73.55,73,DOWN,DOWN,DOWN,,73.55,72.55,,,,2555664.368,,,,
