AM1981a,IHH
AM2017a,TLE4
AM2017b,TLE4
AM2114b,HLA-B
AM2129a,GNAS
AP10172b,CCL4
AP10215b,GCNT2
AP1030a,JMJD4
AP10660c,dik
AP10968c,PAUF
AP11040b,hCG_2024410
AP11267a,C4orf21
AP11278a,CT45A
AP11403a,ZNF322B
AP11595c,hCG_1995004
AP11694b,IGKV A18
AP11851b,KCNRG
AP11883c,CT45A
AP11905b,LOC339742
AP11908a,UNQ3104
AP11909b,LOC147646
AP12131c,CT45A4/CT45A3/CT45A2/CT45A1/CT45A6
AP12178c,TOR2A
AP12270b,TPSAB1
AP12276b,TBC1D3E
AP1287b,D SUMO
AP12953a,TLE4
AP13025b,PGA4
AP13065b,GNAS
AP13285a,TRIM13
AP13299b,APOBEC3G
AP1337a,Thioredoxin (TRX)
AP13427a,cathepsin Q
AP13985c,C4B
AP14100c,BBC3
AP1425b,Rat TRPV3
AP14663a,PGA3
AP14884b,TSPY
AP15004a,KSHV ORF 57
AP15023a,Mouse Olfr545
AP1570b,Calmodulin
AP16270a,TRAPPC2
AP16358c,MDS1
AP16365b,PGA5
AP16578A,HIST1H2BD
AP17280b,TSPY3
AP17664b,ASAH2
AP18228a,CFC1B
AP18606b,HER4 (C-term Y1162)
AP18781b,DUSP13
AP18789C,LIMS3/LIMS3L
AP19037b,KIT (C-term S821/Y823)
AP19045c,RPS17L
AP19127a,GAGE12F / GAGE12G / GAGE12I
AP19209b,ZFP64
AP19567c,GSTT2
AP19859b,RBMY1A1
AP20090b,HOXD12
AP20091b,HSPA1L
AP20092c,HSPE1
AP20095b,HTATSF1
AP20228c,HPSE
AP2162a,AMFR
AP2509A,Androgen Receptor (ANDR)
AP2612a,CCND1
AP2612c,CCND1
AP2704a,Ihh
AP2704b,Ihh
AP3770a,Phospho-Ammonium transporter(T465)
AP3783b,Phospho-mouse JUN(T289)
AP3875a,Phospho-mouse p21Cip1(S125)
AP3877a,Phospho-mouse p21Cip1(S78)
AP3879a,Phospho-rat CCNB3(S277)
AP3880a,Phospho-rat CCNB3(S283)
AP3881a,Phospho-rat CCNB3(S284)
AP5440c,TPSAB1
AP5454c,C7orf28A
AP6126a,EPR1
AP6287a,ATF4 (S245)
AP6296b,PARP3
AP6307b,ABAD
AP6414a,Drosophila Parkin
AP7017c,PXK
AP7131b,Glycerol kinase (GPK2)
AP7165a,PCTAIRE1 (PCTK1)
AP7264d,CASC3 (Y181)
AP7298a,MAPK4
AP7298b,MAPK4
AP8061a,GAK
AP8465a,PPP3CC
AP8783b,IGH
AM1030a,Phospho-mBad(Ser155)
AM1910a,GNPDA1
AP1028b,JMJD2D
AP1078d,GCN5
AP11086A,FBXL10b
AP11222b,EDN3
